1,1,1,2,3,3,3,3,3,3,3,3,3,2,1,1
2,2,2,2,3,3,3,3,3,3,3,3,3,2,1,1
1,1,1,2,3,3,3,3,3,3,3,3,3,2,1,1
1,1,1,2,3,3,3,3,3,3,3,3,3,2,1,1
1,1,1,2,3,3,3,3,3,3,3,3,3,2,1,1
1,1,1,2,3,3,3,3,3,3,3,3,3,2,1,1
1,1,1,2,3,3,3,3,3,3,3,3,3,2,1,1
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1
1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,5,5,5,5,5,5,5,5,5,5,14,1,1,1,1
4,4,4,4,4,4,4,4,4,4,4,12,14,1,1,1
4,4,4,4,4,4,4,4,4,4,4,4,12,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
